OBJECTID,wdpaid,en_name,PATH,ROW,Shape_Length,Shape_Area
81,2013,Yellowstone National Park,37,29,3.112347565412445,0.198415981756163
82,2013,Yellowstone National Park,38,29,5.187450237037875,1.009261968232589
83,2013,Yellowstone National Park,39,29,2.607108862826224,0.188937666581203
84,2013,Yellowstone National Park,131,215,3.156325922326761,0.213471775859743
85,2013,Yellowstone National Park,132,215,5.187450237037875,1.009261968232589
86,2013,Yellowstone National Park,133,215,2.445695855801393,0.163161544849434
87,2015,Natural and Cultural Heritage of the Ohrid region,47,213,0.858573152891213,0.034221924046700
88,2015,Natural and Cultural Heritage of the Ohrid region,48,212,0.981466425610593,0.045756525242422
89,2015,Natural and Cultural Heritage of the Ohrid region,48,213,0.995623848277392,0.062978354416125
90,2015,Natural and Cultural Heritage of the Ohrid region,185,31,1.010582941771752,0.064913578582833
91,2015,Natural and Cultural Heritage of the Ohrid region,185,32,0.973962131682169,0.046334252537684
92,2015,Natural and Cultural Heritage of the Ohrid region,186,31,0.751540922823993,0.026974874639019
93,2016,Plitvice Lakes National Park,50,215,0.889265526299804,0.033729010970391
94,2016,Plitvice Lakes National Park,51,215,0.834982043993302,0.032714713998170
95,2016,Plitvice Lakes National Park,189,29,0.889265526299804,0.033729010970391
96,2016,Plitvice Lakes National Park,190,29,0.889265526299804,0.033729010970391
97,2017,Virunga National Park,48,184,4.229426128568719,0.178035406209934
98,2017,Virunga National Park,48,185,1.758185127632969,0.047697787178044
99,2017,Virunga National Park,49,183,4.716617783305029,0.251444930956051
100,2017,Virunga National Park,49,184,4.152707138982092,0.301455766704281
101,2017,Virunga National Park,173,59,1.126220884063982,0.033595382485069
102,2017,Virunga National Park,173,60,6.353680692806639,0.407228526493310
103,2017,Virunga National Park,173,61,4.466936032401269,0.229895583355853
104,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,58,19,5.441018053892250,0.894908263617684
105,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,58,20,0.789845771429581,0.018327404466736
106,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,59,18,4.231616299170483,0.500526603846510
107,2018,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,59,19,8.673860258154912,2.458244826006607
